Subject,Catalog Nbr,Title,Descr,Attribute
ANTH,H265,Medical Anthropology,"What does it mean to attempt a critical anthropology of the body, illness experience, disease etiology, healing practices, and the epistemology of contemporary biomedicine across a diverse group of cultures and traditions? This course seeks to begin to answer this and other questions by examining the historical development of the field of medical anthropology, exploring the theoretical and philosophical underpinnings of the debates that have shaped the field, and examining the methodological concerns and ethnographic investigations that have broadened the scope of its inquiry. Readings range from classical ethnographic writings, philosophical treatises, anthropological theory, indigenous philosophers, and first person accounts of illness and health.
Enrollment Limit: 25
Lottery Preference(s): 1.) Health Studies minors 2.) Anthropology majors and minors",B: Analysis of the Social World
ANTH,H266,Sensory Ethnographic Methods,"Through this course, students will develop ethnographic research and writing skills using sensory detail (taste, touch, sight, sound, smell and feeling) to evoke people, places, and things. Assignments are primarily writing-intensive with additional fieldwork and multimodal (e.g. photography, film) exercises.
Crosslisted: Anthropology, Visual Studies
Prerequisite(s): Any Anthropology course
Enrollment Limit: 15
Lottery Preference(s): Equal priority to Anthropology and Visual Studies students",B: Analysis of the Social World
ANTH,H268,"Anthropology of Central America: Conflicts, Rights, and Revolutions","This class explores Central American politics, social life, and history through the lens of ethnographic writing and film. We will examine how Cold War state violence and revolutionary movements pushed anthropologists to politicize their research methods and methodologies.
Prerequisite(s): One previous course in either Anthropology or LAILS, or consent of the instructor.
Enrollment Limit: 15",B: Analysis of the Social World
ANTH,H269,DISASTER: Discourses of International Solidarity and Humanitarian Intervention,"This class offers students an opportunity to develop a broad vocabulary of international policy 'buzz words', while also honing critical inquiry and discourse analysis skills around international solidarity and the imaginaries of human suffering that underlie moral imperatives to international action.
Crosslisted: Anthropology; Peace, justice, and Human Rights
Prerequisite(s): PEAC H101, PEAC H201 or instructor's approval
Enrollment Limit: 25
Lottery Preference(s): PJHR Concentrators",B: Analysis of the Social World
ANTH,H271,The Body and Embodiment in the Middle East,"This course surveys anthropological and historical approaches to the body and embodiment in the Middle East, with a focus on themes of representation and power. Our aim is to read up, across, and through prisms of class, gender, and colonialism to better grasp at the stakes of politics and to question the contours and limits of the normal, the healthy, the able, and the pious.
Pre-requisite(s): one 100-level course in Anthropology, Political Science, Sociology, or History
Enrollment Limit: 25
Lottery Preference: Senior students",B: Analysis of the Social World
ANTH,H272,The Politics of Paradise: An Anthropology of Tourism,"What does tourism sell? How do touristic representations of place condition our engagement with destinations, its people, and the histories they embody? This seminar explores tourism beyond vacation and pleasure to consider its implications as a model for development, nation branding, environmental protection, heritage conservation, and the commodification of traumatic histories through “dark tourism.”",B: Analysis of the Social World
ANTH,H273,Law and Anthropology: The War on Drugs,"This course explores anthropological approaches to the law and legal regimes, with special emphasis on the relationship between law, power and politics, social hierarchy and the institutionalization of inequality in the United States in the context of the War on Drugs. We will consider how this happens through an extended study of criminalization, punishment, mass incarceration and The War on Drugs in the United States. We will explore the effects of the criminalization system on drug users, communities, and incarcerated people themselves, and discuss the relationship between criminalization processes and other modes of social segregation and stratification.",B: Analysis of the Social World
ANTH,H274,"Prison Abolition: History, Theory, & Practice","In this course, students will engage with the contemporary prison abolition movement as both a vision for the future and a concrete set of strategies to create safety and undo incarceration in the present. 
Pre-requisite(s): One introductory level course in Anthropology.
Enrollment Limit: 25",B: Analysis of the Social World
ANTH,H275,Race and Representation in Documentary Filmmaking,"This is an introductory cross-listed (Visual Studies/Anthropology) production course on the theory and practice of documentary filmmaking through an exploration of race onscreen. The objective of the course is to enable students to build a critical awareness of the ways in which film and media in general perpetuate racist discourses and representations and explore how students can challenge such representations through their own filmmaking practices. As inspiration, we will watch and study a wide variety of innovative documentary films that bring alternative voices and histories to screen and read/watch filmmaker interviews. Classes will combine elements of a studio (sharing and critiquing filmmaking work in progress) and seminar (discussing weekly themes). 
Crosslisted: VIST.
Lottery Preference: Senior students in anthropology and visual studies have a priority to take this class.
Enrollment Limit: 12.00",A: Creative Expression
ANTH,H275,Race and Representation in Documentary Filmmaking,"This is an introductory cross-listed (Visual Studies/Anthropology) production course on the theory and practice of documentary filmmaking through an exploration of race onscreen. The objective of the course is to enable students to build a critical awareness of the ways in which film and media in general perpetuate racist discourses and representations and explore how students can challenge such representations through their own filmmaking practices. As inspiration, we will watch and study a wide variety of innovative documentary films that bring alternative voices and histories to screen and read/watch filmmaker interviews. Classes will combine elements of a studio (sharing and critiquing filmmaking work in progress) and seminar (discussing weekly themes). 
Crosslisted: VIST.
Lottery Preference: Senior students in anthropology and visual studies have a priority to take this class.
Enrollment Limit: 12.00",B: Analysis of the Social World
ANTH,H276,Global Media Worlds,"This course takes an anthropological approach to examine social and cultural practices of media production, circulation, and consumption. Drawing on ethnographic studies from around the world, it provides an overview of the increasing theoretical attention given to media by anthropologists. It examines cross-culturally how media as representation and as cultural practice have been fundamental to the formation and transformation of subjectivities, collectivities and social relations in the contemporary world. 
Pre-requisite(s): 100-level course in social sciences, or humanities. 
Lottery Preference: Senior anthropology students have a priority to take the class. 
Enrollment Limit: 25.00",B: Analysis of the Social World
ANTH,H277,Media and the Middle East,"What can we learn about the Middle East by examining media? What can we about media by studying institutions of production and practices of consumption in the Middle East region? In this course, we will read ethnographies of media from the Middle East and look at and listen to media. We will explore cases from different countries, from Egypt to Syria, Turkey to Afghanistan, from Lebanon to Palestine/Israel.
Crosslisted: VIST.
Pre-requisite(s): 100-level course in social sciences, or humanities.
Lottery Preference: Senior anthropology students have a priority to take the class.
Enrollment Limit: 25.00",B: Analysis of the Social World
ANTH,H278,Decolonizing Science & Technology,"What does it mean to decolonize science and technology? How are scientific knowledge and various technologies produced under or against colonialism? This course grapples with these questions by engaging with anthropologies and histories of scientific knowledge production, the deployment of technology in (ongoing) colonial projects, and the entangled politics of science, technology, and society. Students learn about contemporary efforts to conduct scientific research and innovate technology in the global South.
Lottery Preference: Students waitlisted for ANTH H106 (Fall 2022 only); Anthropology Students
Enrollment Limit: 12.00",B: Analysis of the Social World
ANTH,H281,Introduction to Environmental Anthropology,"An introduction to the ideas and methods central to environmental anthropology. Topics covered will include political ecology, crises and uncertainty, indigeneity and community management.
Enrollment Limit: 25",B: Analysis of the Social World
ANTH,H302,"Oil, Culture, Power","This course will examine the political, social, and cultural history of oil. As the single most important commodity in the world, the story of control over this highly prized resource is a complex and violent one. It will discuss the ways in which oil has defined the fates empires and nation-states, the rise and fall of local political movements, violence, neoliberal governmentality, and knowledge production. Prerequisite(s): One 100-level course in anthropology, political science, sociology, or history, or instructor consent Enrollment Limit: 15
Lottery Preference(s): Seniors and anthropology majors",B: Analysis of the Social World
ANTH,H303,History and Theory of Anthropology,"The development of anthropological thought. Theories of society and the human subject, social organization and social structure, and the culture concept. Structuralism, Marxist anthropology, the crisis of representation in the 1980s and 1990s, postmodernism, the relationship between ethnography and history, and practice theory.
Prerequisite(s): One course in ANTH, excluding BMC ANTH B303",B: Analysis of the Social World
ANTH,H311,Anthropology of Violence and the Body,"An examination on how violence, in its alternate forms, impacts identity formation by inscribing race, gender and sexuality onto the body at multiple social and cultural junctures. One of the primary objectives of the course is to theoretically engage with the relationship between the body, identity, and state, structural and symbolic violence.
Prerequisite(s): ANTH 103 or instructor consent
Enrollment Limit: 15
Lottery Preference(s): Anthropology majors",B: Analysis of the Social World
ANTH,H312,Ethnographic Poetics: Advanced Readings in Black Feminist Theory & Praxis,"Black feminist theory, produced primarily by Black women scholars, artists, and activists, throughout the diaspora, constitutes a distinctive and influential body of politics and thought. In this course we will explore current ethnography that continues in this tradition. These works are then placed in conversation with interdisciplinary texts such as creative non-fiction, poetry, and visual essays that explore the interstitial experiences of black women’s political subjectivities.
Prerequisite(s): Introduction to Anthropology, two 200 level courses within gen/sex concentration or bi-co minor, approval by instructor.
Enrollment Limit: 15","A: Meaning, Interpretation (Texts)"
ANTH,H312,Ethnographic Poetics: Advanced Readings in Black Feminist Theory & Praxis,"Black feminist theory, produced primarily by Black women scholars, artists, and activists, throughout the diaspora, constitutes a distinctive and influential body of politics and thought. In this course we will explore current ethnography that continues in this tradition. These works are then placed in conversation with interdisciplinary texts such as creative non-fiction, poetry, and visual essays that explore the interstitial experiences of black women’s political subjectivities.
Prerequisite(s): Introduction to Anthropology, two 200 level courses within gen/sex concentration or bi-co minor, approval by instructor.
Enrollment Limit: 15",B: Analysis of the Social World
ANTH,H313,"Sex work, Political Economy, and Capital","This course explores the ways sex and labor construct social spaces and unravel its connections to capital and political economy. Sex work, the commodification of desire and bodies can produce inevitable zones of conflict due to differing cultural understandings of sexuality, gender, ethnicity, power, and citizenship. Focusing on experiences of women we will probe these intersecting discourses by reviewing a wide range of texts that ethnographically detail dimensions of sex work. How does the study of sex work situated within specific social and political contexts, perhaps surprisingly, reveal important dimensions of gender, mobility, community, and globalization today?
Prerequisite(s): 100 level course in anthropology or Gender and Sexuality Studies, or instructor consent",B: Analysis of the Social World
ANTH,H314,Feminist Filmmaking Studio,"Through engagement with intersectional and decolonial feminist theory, students will work to deconstruct and challenge dominant gazes in film. Students will translate theoretical and autoethnographic insights to filmmaking practice by producing a short film.. 
Crosslisted: Visual Studies, Anthropology
Prerequisite(s): any course in anthropology, visual studies, or gender and sexuality studies or instructor consent
Enrollment Limit: 8
Lottery Preference(s): Visual Studies minors, Anthropology major/minors, Gender and Sexuality Studies concentrators",A: Creative Expression
ANTH,H314,Feminist Filmmaking Studio,"Through engagement with intersectional and decolonial feminist theory, students will work to deconstruct and challenge dominant gazes in film. Students will translate theoretical and autoethnographic insights to filmmaking practice by producing a short film.. 
Crosslisted: Visual Studies, Anthropology
Prerequisite(s): any course in anthropology, visual studies, or gender and sexuality studies or instructor consent
Enrollment Limit: 8
Lottery Preference(s): Visual Studies minors, Anthropology major/minors, Gender and Sexuality Studies concentrators",B: Analysis of the Social World
ANTH,H317,Ethnographies of Magic and the Magic of Ethnography,"Do ethnographies of magic exude their own magical quality, thus enfolded into the very thing they purport to explain? This seminar examines what constitutes ‘good’ ethnographic writing, and in what manner ethnography may be considered a type of modernist literature that crosses over into the science of social investigation.
Crosslisted: ANTH.
Pre-requisite(s): at least one 100-level course on Religion or Anthropology, preferably a 200-level course in either field
Lottery Preference: 1. Religion majors and minors 2. Anthropology majors and minors
Enrollment Limit: 15.00","A: Meaning, Interpretation (Texts)"
ANTH,H317,Ethnographies of Magic and the Magic of Ethnography,"Do ethnographies of magic exude their own magical quality, thus enfolded into the very thing they purport to explain? This seminar examines what constitutes ‘good’ ethnographic writing, and in what manner ethnography may be considered a type of modernist literature that crosses over into the science of social investigation.
Crosslisted: ANTH.
Pre-requisite(s): at least one 100-level course on Religion or Anthropology, preferably a 200-level course in either field
Lottery Preference: 1. Religion majors and minors 2. Anthropology majors and minors
Enrollment Limit: 15.00",B: Analysis of the Social World
ANTH,H318,Black Feminist Borderlands,"This course explores how Black people throughout the African diaspora create transnational geographies of belonging, traverse imposed borders, and imagine the world in new ways. Students will have the opportunity to apply the course themes through writing and creative assignments.
Crosslisted: Anthropology, Visual Studies
Prerequisite(s):One course in either Africana Studies or Visual Studies or Gender and Sexuality Studies or Anthropology.
Enrollment Limit: 8
Lottery preference(s): Anthropology majors/minors and Visual Studies minors",A: Creative Expression
ANTH,H318,Black Feminist Borderlands,"This course explores how Black people throughout the African diaspora create transnational geographies of belonging, traverse imposed borders, and imagine the world in new ways. Students will have the opportunity to apply the course themes through writing and creative assignments.
Crosslisted: Anthropology, Visual Studies
Prerequisite(s):One course in either Africana Studies or Visual Studies or Gender and Sexuality Studies or Anthropology.
Enrollment Limit: 8
Lottery preference(s): Anthropology majors/minors and Visual Studies minors",B: Analysis of the Social World
ANTH,H319,Deviant Bodies: The Anthropology of Gender and Race,"What is the relationship between white supremacy, racial capitalism, and the construction of gender difference, gender deviance, and racial hierarchy? How can we think about gender non-normativity as a challenge to racial capitalism and its regimes of value, while simultaneously recognizing the dangers of recuperating white gender nonconformity into the ruling racial regime? In this course, students will encounter scholars from a range of disciplines—anthropology, Black studies, history, performance studies, and comparative literature—exposing the colonial invention and imposition of race/sex difference as a foundational move of colonialism, transatlantic slavery, and capitalism. In the second half of the course, taking cues from Ferguson’s Aberrations in Black, Williamson’s Scandalize My Name, and McMillan’s Embodied Avatars, we will consider the (trans) liberation politics that coalesce through antinormative gendered positions refuting racial capitalism’s regimes of value.
Prerequisite(s): 100 level course in Anthropology or Instructor consent
Enrollment Limit: 15
Lottery Preference(s): Anthropology majors, Gender and Sexuality Studies minors",B: Analysis of the Social World
ANTH,H326,Whiteness in Anthropology,"The violence of whiteness is occluded and concealed by treating whiteness and white people as normative, rational, and inevitable. In this class, we will turn our analytic gaze upon whiteness itself, exposing its insidious modes of self-and-other construction, and destabilizing its ocular power to define others. We will pay special attention to how the white, “colonial gaze” has operated in the purportedly-liberal discipline of anthropology, and explore ethnographic methods for studying whiteness and white supremacy. 
Pre-requisite(s): Two prior courses in Anthropology, or permission of the instructor. 
Enrollment Limit: 15",B: Analysis of the Social World
